id,movimenti
http://www.wikidata.org/entity/Q3201479,rinascimento italiano
http://www.wikidata.org/entity/Q3207247,futurismo
http://www.wikidata.org/entity/Q3207678,rinascimento italiano
http://www.wikidata.org/entity/Q3207989,rinascimento italiano
http://www.wikidata.org/entity/Q3210267,Primo Rinascimento
http://www.wikidata.org/entity/Q3213773,Primo Rinascimento
http://www.wikidata.org/entity/Q3213778,Primo Rinascimento
http://www.wikidata.org/entity/Q3213801,Primo Rinascimento
http://www.wikidata.org/entity/Q3220282,
http://www.wikidata.org/entity/Q3223625,
http://www.wikidata.org/entity/Q3276171,protorinascimento
http://www.wikidata.org/entity/Q3276168,protorinascimento
http://www.wikidata.org/entity/Q3276180,protorinascimento
http://www.wikidata.org/entity/Q3399438,Primo Rinascimento; pittura rinascimentale italiana
http://www.wikidata.org/entity/Q3463871,Alto Rinascimento
http://www.wikidata.org/entity/Q3464027,protorinascimento
http://www.wikidata.org/entity/Q3471589,protorinascimento
http://www.wikidata.org/entity/Q3472935,protorinascimento
http://www.wikidata.org/entity/Q3495790,pittura veneta
http://www.wikidata.org/entity/Q3605530,
http://www.wikidata.org/entity/Q3605532,
http://www.wikidata.org/entity/Q3605568,
http://www.wikidata.org/entity/Q3618188,Alto Rinascimento
http://www.wikidata.org/entity/Q3620766,rococò
http://www.wikidata.org/entity/Q3620765,rococò
http://www.wikidata.org/entity/Q3623738,
http://www.wikidata.org/entity/Q3625842,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q3627401,
http://www.wikidata.org/entity/Q3630726,
http://www.wikidata.org/entity/Q3636748,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3639064,
http://www.wikidata.org/entity/Q3642142,protorinascimento
http://www.wikidata.org/entity/Q3650885,
http://www.wikidata.org/entity/Q3685501,
http://www.wikidata.org/entity/Q3686814,
http://www.wikidata.org/entity/Q3697588,
http://www.wikidata.org/entity/Q3697602,rinascimento italiano
http://www.wikidata.org/entity/Q3697640,
http://www.wikidata.org/entity/Q3698182,
http://www.wikidata.org/entity/Q3698204,
http://www.wikidata.org/entity/Q3704794,
http://www.wikidata.org/entity/Q3706331,Alto Rinascimento
http://www.wikidata.org/entity/Q3709306,
http://www.wikidata.org/entity/Q3711898,
http://www.wikidata.org/entity/Q3714445,Alto Rinascimento
http://www.wikidata.org/entity/Q3725199,
http://www.wikidata.org/entity/Q3725832,
http://www.wikidata.org/entity/Q3731103,
http://www.wikidata.org/entity/Q3732905,
http://www.wikidata.org/entity/Q3740793,Primo Rinascimento
http://www.wikidata.org/entity/Q3743879,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3747239,
http://www.wikidata.org/entity/Q3752350,protorinascimento
http://www.wikidata.org/entity/Q3752977,
http://www.wikidata.org/entity/Q3766168,
http://www.wikidata.org/entity/Q3769202,
http://www.wikidata.org/entity/Q3771679,
http://www.wikidata.org/entity/Q3771746,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3771749,
http://www.wikidata.org/entity/Q3775535,
http://www.wikidata.org/entity/Q3778382,rinascimento italiano
http://www.wikidata.org/entity/Q3784247,pittura veneta
http://www.wikidata.org/entity/Q3784272,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q3797482,
http://www.wikidata.org/entity/Q3817178,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q3821139,
http://www.wikidata.org/entity/Q3821405,
http://www.wikidata.org/entity/Q3823990,
http://www.wikidata.org/entity/Q3831651,Alto Rinascimento
http://www.wikidata.org/entity/Q3834971,
http://www.wikidata.org/entity/Q3842412,pittura veneta; Primo Rinascimento
http://www.wikidata.org/entity/Q3842413,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3842424,
http://www.wikidata.org/entity/Q3842438,
http://www.wikidata.org/entity/Q3842439,
http://www.wikidata.org/entity/Q3842472,
http://www.wikidata.org/entity/Q3842484,
http://www.wikidata.org/entity/Q3842522,
http://www.wikidata.org/entity/Q3842521,Primo Rinascimento
http://www.wikidata.org/entity/Q3842530,
http://www.wikidata.org/entity/Q3842533,
http://www.wikidata.org/entity/Q3842543,
http://www.wikidata.org/entity/Q3842575,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3842577,
http://www.wikidata.org/entity/Q7232305,pittura veneta
http://www.wikidata.org/entity/Q7401416,pittura veneta
http://www.wikidata.org/entity/Q7401482,pittura veneta
http://www.wikidata.org/entity/Q7720644,
http://www.wikidata.org/entity/Q7750471,pittura veneta
http://www.wikidata.org/entity/Q7885787,Primo Rinascimento
http://www.wikidata.org/entity/Q7920573,pittura veneta
