id,generi
http://www.wikidata.org/entity/Q3207678,arte religiosa
http://www.wikidata.org/entity/Q3207989,arte religiosa
http://www.wikidata.org/entity/Q3210267,arte religiosa
http://www.wikidata.org/entity/Q3213773,arte religiosa
http://www.wikidata.org/entity/Q3213778,arte religiosa
http://www.wikidata.org/entity/Q3213801,arte religiosa
http://www.wikidata.org/entity/Q3220282,arte religiosa
http://www.wikidata.org/entity/Q3223625,nudo artistico; arte religiosa
http://www.wikidata.org/entity/Q3276171,arte religiosa
http://www.wikidata.org/entity/Q3276168,arte religiosa
http://www.wikidata.org/entity/Q3276180,arte religiosa
http://www.wikidata.org/entity/Q3399438,ritratto
http://www.wikidata.org/entity/Q3463871,arte religiosa
http://www.wikidata.org/entity/Q3464027,arte religiosa
http://www.wikidata.org/entity/Q3471589,arte religiosa
http://www.wikidata.org/entity/Q3472935,arte religiosa
http://www.wikidata.org/entity/Q3495790,arte religiosa
http://www.wikidata.org/entity/Q3605530,arte religiosa
http://www.wikidata.org/entity/Q3605532,arte religiosa
http://www.wikidata.org/entity/Q3605568,arte religiosa
http://www.wikidata.org/entity/Q3618188,arte religiosa
http://www.wikidata.org/entity/Q3620766,arte religiosa
http://www.wikidata.org/entity/Q3620765,arte religiosa
http://www.wikidata.org/entity/Q3623738,arte religiosa
http://www.wikidata.org/entity/Q3625842,ritratto
http://www.wikidata.org/entity/Q3627401,arte religiosa
http://www.wikidata.org/entity/Q3630726,autoritratto
http://www.wikidata.org/entity/Q3636748,arte religiosa
http://www.wikidata.org/entity/Q3639064,arte di genere
http://www.wikidata.org/entity/Q3642142,ritratto
http://www.wikidata.org/entity/Q3650885,pittura mitologica
http://www.wikidata.org/entity/Q3685501,arte religiosa
http://www.wikidata.org/entity/Q3686814,arte religiosa
http://www.wikidata.org/entity/Q3697588,arte religiosa
http://www.wikidata.org/entity/Q3697602,arte religiosa
http://www.wikidata.org/entity/Q3697640,arte religiosa
http://www.wikidata.org/entity/Q3698182,arte religiosa
http://www.wikidata.org/entity/Q3698204,arte religiosa
http://www.wikidata.org/entity/Q3704794,pittura mitologica
http://www.wikidata.org/entity/Q3706331,arte religiosa
http://www.wikidata.org/entity/Q3709306,pittura mitologica
http://www.wikidata.org/entity/Q3711898,arte religiosa
http://www.wikidata.org/entity/Q3714445,arte religiosa
http://www.wikidata.org/entity/Q3725199,pittura mitologica
http://www.wikidata.org/entity/Q3725832,dipinti di battaglie
http://www.wikidata.org/entity/Q3731103,pittura mitologica
http://www.wikidata.org/entity/Q3732905,arte religiosa
http://www.wikidata.org/entity/Q3740793,allegoria
http://www.wikidata.org/entity/Q3743879,ritratto; pittura mitologica
http://www.wikidata.org/entity/Q3747239,arte religiosa
http://www.wikidata.org/entity/Q3752350,arte religiosa
http://www.wikidata.org/entity/Q3752977,natura morta
http://www.wikidata.org/entity/Q3766168,nudo artistico; arte religiosa
http://www.wikidata.org/entity/Q3769202,arte religiosa
http://www.wikidata.org/entity/Q3771679,arte religiosa
http://www.wikidata.org/entity/Q3771746,allegoria; arte religiosa
http://www.wikidata.org/entity/Q3771749,
http://www.wikidata.org/entity/Q3775535,arte religiosa
http://www.wikidata.org/entity/Q3778382,arte religiosa
http://www.wikidata.org/entity/Q3784247,ritratto
http://www.wikidata.org/entity/Q3784272,ritratto
http://www.wikidata.org/entity/Q3797482,
http://www.wikidata.org/entity/Q3817178,arte religiosa
http://www.wikidata.org/entity/Q3821139,arte di genere
http://www.wikidata.org/entity/Q3821405,
http://www.wikidata.org/entity/Q3823990,arte di genere
http://www.wikidata.org/entity/Q3831651,arte religiosa
http://www.wikidata.org/entity/Q3834971,allegoria
http://www.wikidata.org/entity/Q3842412,arte religiosa
http://www.wikidata.org/entity/Q3842413,arte religiosa
http://www.wikidata.org/entity/Q3842424,arte religiosa
http://www.wikidata.org/entity/Q3842438,arte religiosa
http://www.wikidata.org/entity/Q3842439,arte religiosa
http://www.wikidata.org/entity/Q3842472,arte religiosa
http://www.wikidata.org/entity/Q3842484,arte religiosa
http://www.wikidata.org/entity/Q3842522,arte religiosa
http://www.wikidata.org/entity/Q3842521,arte religiosa
http://www.wikidata.org/entity/Q3842530,arte religiosa
http://www.wikidata.org/entity/Q3842533,arte religiosa
http://www.wikidata.org/entity/Q3842543,arte religiosa
http://www.wikidata.org/entity/Q3842575,arte religiosa
http://www.wikidata.org/entity/Q3842577,arte religiosa
http://www.wikidata.org/entity/Q3842594,arte religiosa
http://www.wikidata.org/entity/Q3842673,arte religiosa
http://www.wikidata.org/entity/Q3842700,arte religiosa
http://www.wikidata.org/entity/Q3842706,arte religiosa
http://www.wikidata.org/entity/Q3842713,arte religiosa
http://www.wikidata.org/entity/Q3842725,arte religiosa
http://www.wikidata.org/entity/Q3862624,
http://www.wikidata.org/entity/Q3863247,arte religiosa
http://www.wikidata.org/entity/Q3873244,arte religiosa
http://www.wikidata.org/entity/Q3877894,arte religiosa
http://www.wikidata.org/entity/Q3879242,nudo artistico
http://www.wikidata.org/entity/Q3884948,arte religiosa
http://www.wikidata.org/entity/Q3885620,pittura mitologica
http://www.wikidata.org/entity/Q3889195,arte religiosa
http://www.wikidata.org/entity/Q3889203,arte religiosa
http://www.wikidata.org/entity/Q3889211,arte religiosa
http://www.wikidata.org/entity/Q3889220,arte religiosa
http://www.wikidata.org/entity/Q3889229,arte religiosa
http://www.wikidata.org/entity/Q3889247,arte religiosa
http://www.wikidata.org/entity/Q3889254,arte religiosa
http://www.wikidata.org/entity/Q3889255,arte religiosa
