id,artisti
http://www.wikidata.org/entity/Q2293936,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2325834,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2327715,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2337873,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2338404,Leonardo da Vinci (maschio)
http://www.wikidata.org/entity/Q2338417,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2343939,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2405771,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2426058,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2448678,Guido Reni (maschio)
http://www.wikidata.org/entity/Q2459887,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q2470123,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2472983,Jacopo Tintoretto (maschio)
http://www.wikidata.org/entity/Q2515309,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,
http://www.wikidata.org/entity/Q2551625,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2610729,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2610936,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2626595,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2627056,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2629715,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2635552,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2665840,Jacopo Palma il Giovane (maschio); Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q2713203,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2713823,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2714237,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2715177,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2715302,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2717478,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2732274,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2734111,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2866382,Giotto (maschio)
http://www.wikidata.org/entity/Q88961191,
http://www.wikidata.org/entity/Q2872721,Jacques-Louis David (maschio)
http://www.wikidata.org/entity/Q2920183,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q2929922,Maestro d'Isacco (maschio)
http://www.wikidata.org/entity/Q3044873,Giotto (maschio)
http://www.wikidata.org/entity/Q97378803,
http://www.wikidata.org/entity/Q97669288,
http://www.wikidata.org/entity/Q97669846,
http://www.wikidata.org/entity/Q98108204,
http://www.wikidata.org/entity/Q98449585,
http://www.wikidata.org/entity/Q98557614,
http://www.wikidata.org/entity/Q98684801,
http://www.wikidata.org/entity/Q3185885,Giotto (maschio)
http://www.wikidata.org/entity/Q3201479,Domenico Ghirlandaio (maschio); Bartolomeo di Giovanni (maschio)
http://www.wikidata.org/entity/Q3207247,Umberto Boccioni (maschio)
http://www.wikidata.org/entity/Q3207678,Perugino (maschio)
http://www.wikidata.org/entity/Q3207989,Perugino (maschio); Luca Signorelli (maschio)
http://www.wikidata.org/entity/Q3210267,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q3213773,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q3213778,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q3213801,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q3220282,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3223625,Caravaggio (maschio)
http://www.wikidata.org/entity/Q3276171,Giotto (maschio)
http://www.wikidata.org/entity/Q3276168,Giotto (maschio)
http://www.wikidata.org/entity/Q3276180,Giotto (maschio)
http://www.wikidata.org/entity/Q105002330,
http://www.wikidata.org/entity/Q105009573,
http://www.wikidata.org/entity/Q105070687,
http://www.wikidata.org/entity/Q105070700,
http://www.wikidata.org/entity/Q3399438,Sandro Botticelli (maschio)
