id,soggetti
http://www.wikidata.org/entity/Q3201479,Adorazione dei Magi
http://www.wikidata.org/entity/Q3207247,lanciere
http://www.wikidata.org/entity/Q3207678,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q3207989,crocifissione di Gesù
http://www.wikidata.org/entity/Q3210267,Madonna col Bambino
http://www.wikidata.org/entity/Q3213773,Madonna col Bambino
http://www.wikidata.org/entity/Q3213778,Madonna col Bambino
http://www.wikidata.org/entity/Q3213801,Madonna col Bambino
http://www.wikidata.org/entity/Q3220282,battesimo di Gesù
http://www.wikidata.org/entity/Q3223625,Giovanni Battista
http://www.wikidata.org/entity/Q3276171,Madonna col Bambino
http://www.wikidata.org/entity/Q3276168,
http://www.wikidata.org/entity/Q3276180,Madonna col Bambino
http://www.wikidata.org/entity/Q3399438,Giuliano de' Medici
http://www.wikidata.org/entity/Q3463871,
http://www.wikidata.org/entity/Q3464027,Pietro
http://www.wikidata.org/entity/Q3471589,Paolo di Tarso
http://www.wikidata.org/entity/Q3472935,
http://www.wikidata.org/entity/Q3495790,Salomè con la testa del Battista
http://www.wikidata.org/entity/Q3605530,Adorazione dei Magi
http://www.wikidata.org/entity/Q3605532,Adorazione dei Magi
http://www.wikidata.org/entity/Q3605568,nascita di Gesù
http://www.wikidata.org/entity/Q3618188,Annunciazione
http://www.wikidata.org/entity/Q3620766,
http://www.wikidata.org/entity/Q3620765,
http://www.wikidata.org/entity/Q3623738,
http://www.wikidata.org/entity/Q3625842,Cosimo I de' Medici
http://www.wikidata.org/entity/Q3627401,Assunzione di Maria
http://www.wikidata.org/entity/Q3630726,Hans Holbein il Giovane
http://www.wikidata.org/entity/Q3636748,battesimo di Gesù
http://www.wikidata.org/entity/Q3639064,
http://www.wikidata.org/entity/Q3642142,papa Bonifacio VIII
http://www.wikidata.org/entity/Q3650885,
http://www.wikidata.org/entity/Q3685501,Comunione degli Apostoli
http://www.wikidata.org/entity/Q3686814,
http://www.wikidata.org/entity/Q3697588,Cristo alla colonna
http://www.wikidata.org/entity/Q3697602,Imago pietatis
http://www.wikidata.org/entity/Q3697640,Gesù; Risurrezione di Gesù
http://www.wikidata.org/entity/Q3698182,crocifissione di Gesù
http://www.wikidata.org/entity/Q3698204,crocifissione di Gesù
http://www.wikidata.org/entity/Q3704794,
http://www.wikidata.org/entity/Q3706331,
http://www.wikidata.org/entity/Q3709306,
http://www.wikidata.org/entity/Q3711898,crocifissione di Gesù
http://www.wikidata.org/entity/Q3714445,
http://www.wikidata.org/entity/Q3725199,
http://www.wikidata.org/entity/Q3725832,Enrico IV di Franconia; battaglia di Ivry
http://www.wikidata.org/entity/Q3731103,
http://www.wikidata.org/entity/Q3732905,Sofronio Eusebio Girolamo
http://www.wikidata.org/entity/Q3740793,
http://www.wikidata.org/entity/Q3743879,
http://www.wikidata.org/entity/Q3747239,
http://www.wikidata.org/entity/Q3752350,
http://www.wikidata.org/entity/Q3752977,arti liberali
http://www.wikidata.org/entity/Q3766168,Arresto di Gesù
http://www.wikidata.org/entity/Q3769202,
http://www.wikidata.org/entity/Q3771679,Giuseppe
http://www.wikidata.org/entity/Q3771746,equità
http://www.wikidata.org/entity/Q3771749,Zaleuco di Locri
http://www.wikidata.org/entity/Q3775535,crocifissione di Gesù
http://www.wikidata.org/entity/Q3778382,Cosma e Damiano; Giustiniano; guarigione
http://www.wikidata.org/entity/Q3784247,donna
http://www.wikidata.org/entity/Q3784272,Giovanni di Cosimo I de' Medici
http://www.wikidata.org/entity/Q3797482,vedetta
http://www.wikidata.org/entity/Q3817178,
http://www.wikidata.org/entity/Q3821139,
http://www.wikidata.org/entity/Q3821405,
http://www.wikidata.org/entity/Q3823990,
http://www.wikidata.org/entity/Q3831651,
http://www.wikidata.org/entity/Q3834971,ira
http://www.wikidata.org/entity/Q3842412,Madonna col Bambino
http://www.wikidata.org/entity/Q3842413,Madonna col Bambino
http://www.wikidata.org/entity/Q3842424,Madonna col Bambino
http://www.wikidata.org/entity/Q3842438,Sacra conversazione
http://www.wikidata.org/entity/Q3842439,Madonna col Bambino
http://www.wikidata.org/entity/Q3842472,Madonna col Bambino
http://www.wikidata.org/entity/Q3842484,Madonna col Bambino
http://www.wikidata.org/entity/Q3842522,Madonna col Bambino
http://www.wikidata.org/entity/Q3842521,Madonna col Bambino
http://www.wikidata.org/entity/Q3842530,Sacra conversazione
http://www.wikidata.org/entity/Q3842533,Madonna col Bambino
http://www.wikidata.org/entity/Q3842543,Madonna col Bambino
http://www.wikidata.org/entity/Q3842575,Sacra conversazione
http://www.wikidata.org/entity/Q3842577,Madonna col Bambino
http://www.wikidata.org/entity/Q3842594,Sacra conversazione
http://www.wikidata.org/entity/Q3842673,Maria; Madonna col Bambino
http://www.wikidata.org/entity/Q3842700,
http://www.wikidata.org/entity/Q3842706,Madonna col Bambino
http://www.wikidata.org/entity/Q3842713,Madonna col Bambino
http://www.wikidata.org/entity/Q3842725,Madonna col Bambino
http://www.wikidata.org/entity/Q3862624,
http://www.wikidata.org/entity/Q3863247,
http://www.wikidata.org/entity/Q3873244,Vita della Vergine; nascita di Maria
http://www.wikidata.org/entity/Q3877894,Noli me tangere
http://www.wikidata.org/entity/Q3879242,nudo artistico
http://www.wikidata.org/entity/Q3884948,orazione nell'orto
http://www.wikidata.org/entity/Q3885620,
http://www.wikidata.org/entity/Q3889195,Sacra conversazione
http://www.wikidata.org/entity/Q3889203,Sacra conversazione
http://www.wikidata.org/entity/Q3889211,Sacra conversazione
http://www.wikidata.org/entity/Q3889220,
http://www.wikidata.org/entity/Q3889229,Sacra conversazione
http://www.wikidata.org/entity/Q3889247,
http://www.wikidata.org/entity/Q3889254,Sacra conversazione; Madonna col Bambino
http://www.wikidata.org/entity/Q3889255,Sacra conversazione
http://www.wikidata.org/entity/Q3889253,Incoronazione della Vergine
http://www.wikidata.org/entity/Q3904392,Pietà
http://www.wikidata.org/entity/Q3904398,Pietà
http://www.wikidata.org/entity/Q3907344,
http://www.wikidata.org/entity/Q3907497,
http://www.wikidata.org/entity/Q3908184,
http://www.wikidata.org/entity/Q3910087,
http://www.wikidata.org/entity/Q3910913,Presentazione al Tempio
http://www.wikidata.org/entity/Q3921705,neve
http://www.wikidata.org/entity/Q3921912,
http://www.wikidata.org/entity/Q3924389,
http://www.wikidata.org/entity/Q3925592,
http://www.wikidata.org/entity/Q3937080,
http://www.wikidata.org/entity/Q3937438,Bernardo de' Rossi
http://www.wikidata.org/entity/Q3937502,Cosimo de' Medici
http://www.wikidata.org/entity/Q3937511,Eleonora Gonzaga della Rovere
http://www.wikidata.org/entity/Q3937547,
http://www.wikidata.org/entity/Q3937553,Giulia Varano
http://www.wikidata.org/entity/Q3937561,Giulio Clovio
http://www.wikidata.org/entity/Q3937569,Ippolito de' Medici
http://www.wikidata.org/entity/Q3937598,donna
http://www.wikidata.org/entity/Q3937634,Mosè Bianchi
http://www.wikidata.org/entity/Q3937643,papa Paolo III
http://www.wikidata.org/entity/Q3944499,Sacra Famiglia
http://www.wikidata.org/entity/Q3944515,Sacra conversazione
http://www.wikidata.org/entity/Q3945254,
http://www.wikidata.org/entity/Q3945710,Salomè con la testa del Battista
http://www.wikidata.org/entity/Q3946910,San Cristoforo
http://www.wikidata.org/entity/Q3947013,Domenico di Guzmán
http://www.wikidata.org/entity/Q3947064,
http://www.wikidata.org/entity/Q3947210,san Giorgio e il drago
http://www.wikidata.org/entity/Q3947211,san Giorgio e il drago
http://www.wikidata.org/entity/Q3947277,
http://www.wikidata.org/entity/Q3947281,San Giovannino
http://www.wikidata.org/entity/Q3947288,San Girolamo nel deserto
http://www.wikidata.org/entity/Q3947375,
http://www.wikidata.org/entity/Q3947504,
http://www.wikidata.org/entity/Q3947687,Michele
http://www.wikidata.org/entity/Q3947723,
http://www.wikidata.org/entity/Q3947812,
http://www.wikidata.org/entity/Q3948034,
http://www.wikidata.org/entity/Q3948651,
http://www.wikidata.org/entity/Q3948701,Andrea
http://www.wikidata.org/entity/Q3949208,santa Monica
http://www.wikidata.org/entity/Q3949310,
http://www.wikidata.org/entity/Q3949373,
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3954057,
http://www.wikidata.org/entity/Q3967206,sposalizio della Vergine
http://www.wikidata.org/entity/Q3973584,Stimmate di San Francesco
http://www.wikidata.org/entity/Q3974449,
http://www.wikidata.org/entity/Q3979950,Marco; Pietro; Giovanni Battista; Giovanni; maestà
http://www.wikidata.org/entity/Q3979952,Madonna col Bambino
http://www.wikidata.org/entity/Q3979961,
http://www.wikidata.org/entity/Q3981174,Tarquinio il Superbo; Tempio di Giove Ottimo Massimo
http://www.wikidata.org/entity/Q3982379,
http://www.wikidata.org/entity/Q3983114,
http://www.wikidata.org/entity/Q3984830,
http://www.wikidata.org/entity/Q3985169,Gesù
http://www.wikidata.org/entity/Q3985186,
http://www.wikidata.org/entity/Q3985472,
http://www.wikidata.org/entity/Q3992111,Tobia e l'angelo
http://www.wikidata.org/entity/Q3994163,
http://www.wikidata.org/entity/Q3997723,trasfigurazione di Gesù
http://www.wikidata.org/entity/Q3998940,
http://www.wikidata.org/entity/Q3999094,Madonna del Latte
http://www.wikidata.org/entity/Q3999095,Sacra conversazione; Madonna col Bambino
http://www.wikidata.org/entity/Q4006302,
http://www.wikidata.org/entity/Q4010476,
http://www.wikidata.org/entity/Q4010941,viaggio dei Magi
http://www.wikidata.org/entity/Q4014547,
http://www.wikidata.org/entity/Q4015931,
http://www.wikidata.org/entity/Q4015932,Chiamata di Matteo
http://www.wikidata.org/entity/Q5659648,espulsione di Agar e Ismaele
http://www.wikidata.org/entity/Q5954551,Giudizio di Paride
http://www.wikidata.org/entity/Q6696013,Leonardo da Vinci
http://www.wikidata.org/entity/Q7232252,Andrea Doria
http://www.wikidata.org/entity/Q7232287,Lavinia Vecellio
http://www.wikidata.org/entity/Q7232305,Pietro Aretino
