id,altezza
http://www.wikidata.org/entity/Q2470123,145
http://www.wikidata.org/entity/Q2472983,365
http://www.wikidata.org/entity/Q2515309,65
http://www.wikidata.org/entity/Q78330040,
http://www.wikidata.org/entity/Q78756742,
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,
http://www.wikidata.org/entity/Q79020756,
http://www.wikidata.org/entity/Q79021962,
http://www.wikidata.org/entity/Q79022279,
http://www.wikidata.org/entity/Q79022528,
http://www.wikidata.org/entity/Q79022983,
http://www.wikidata.org/entity/Q79024730,
http://www.wikidata.org/entity/Q79026167,
http://www.wikidata.org/entity/Q2610936,70
http://www.wikidata.org/entity/Q2610729,155.5
http://www.wikidata.org/entity/Q2626595,390
http://www.wikidata.org/entity/Q2627056,125
http://www.wikidata.org/entity/Q2629715,46
http://www.wikidata.org/entity/Q2635552,139
http://www.wikidata.org/entity/Q2665840,352
http://www.wikidata.org/entity/Q2713203,260
http://www.wikidata.org/entity/Q2713823,48
http://www.wikidata.org/entity/Q2714237,150
http://www.wikidata.org/entity/Q2715177,112
http://www.wikidata.org/entity/Q2715302,292
http://www.wikidata.org/entity/Q2717478,72
http://www.wikidata.org/entity/Q2732274,122.5
http://www.wikidata.org/entity/Q2734111,124
http://www.wikidata.org/entity/Q2866382,500
http://www.wikidata.org/entity/Q88961191,
http://www.wikidata.org/entity/Q2872721,64
http://www.wikidata.org/entity/Q89697566,
http://www.wikidata.org/entity/Q90291195,
http://www.wikidata.org/entity/Q2920183,403
http://www.wikidata.org/entity/Q2929922,300
http://www.wikidata.org/entity/Q93520523,
http://www.wikidata.org/entity/Q93631317,
http://www.wikidata.org/entity/Q3044873,300
http://www.wikidata.org/entity/Q94634547,
http://www.wikidata.org/entity/Q97378803,
http://www.wikidata.org/entity/Q97669288,
http://www.wikidata.org/entity/Q97669846,
http://www.wikidata.org/entity/Q98108204,
http://www.wikidata.org/entity/Q98449585,
http://www.wikidata.org/entity/Q98557614,
http://www.wikidata.org/entity/Q98684801,
http://www.wikidata.org/entity/Q3185885,300
http://www.wikidata.org/entity/Q3201479,285
http://www.wikidata.org/entity/Q3207247,32
http://www.wikidata.org/entity/Q3207678,220
