id,larghezza
http://www.wikidata.org/entity/Q2459887,56
http://www.wikidata.org/entity/Q2470123,195
http://www.wikidata.org/entity/Q2472983,568
http://www.wikidata.org/entity/Q2515309,45
http://www.wikidata.org/entity/Q78330040,
http://www.wikidata.org/entity/Q78756742,
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,
http://www.wikidata.org/entity/Q79020756,
http://www.wikidata.org/entity/Q79021962,
http://www.wikidata.org/entity/Q79022279,
http://www.wikidata.org/entity/Q79022528,
http://www.wikidata.org/entity/Q79022983,
http://www.wikidata.org/entity/Q79023210,
http://www.wikidata.org/entity/Q79023501,
http://www.wikidata.org/entity/Q79024730,
http://www.wikidata.org/entity/Q79025062,
http://www.wikidata.org/entity/Q79026167,
http://www.wikidata.org/entity/Q2610936,67
http://www.wikidata.org/entity/Q2610729,119.5
http://www.wikidata.org/entity/Q2626595,260
http://www.wikidata.org/entity/Q2627056,101
http://www.wikidata.org/entity/Q2629715,31
http://www.wikidata.org/entity/Q2635552,91
http://www.wikidata.org/entity/Q2665840,349
http://www.wikidata.org/entity/Q2713203,150
http://www.wikidata.org/entity/Q2713823,35.5
http://www.wikidata.org/entity/Q2714237,156
http://www.wikidata.org/entity/Q2715177,157
http://www.wikidata.org/entity/Q2715302,211
http://www.wikidata.org/entity/Q2717478,5454
http://www.wikidata.org/entity/Q2732274,30
http://www.wikidata.org/entity/Q2734111,90
http://www.wikidata.org/entity/Q86674601,
http://www.wikidata.org/entity/Q2866382,400
http://www.wikidata.org/entity/Q88961191,
http://www.wikidata.org/entity/Q2872721,53
http://www.wikidata.org/entity/Q89697566,
http://www.wikidata.org/entity/Q90291195,
http://www.wikidata.org/entity/Q2920183,235
http://www.wikidata.org/entity/Q2929922,300
http://www.wikidata.org/entity/Q93520523,
http://www.wikidata.org/entity/Q93631317,
http://www.wikidata.org/entity/Q3044873,300
http://www.wikidata.org/entity/Q94634547,
http://www.wikidata.org/entity/Q96192148,
http://www.wikidata.org/entity/Q97378803,
http://www.wikidata.org/entity/Q97669288,
http://www.wikidata.org/entity/Q97669846,
http://www.wikidata.org/entity/Q98108204,
http://www.wikidata.org/entity/Q98449585,
http://www.wikidata.org/entity/Q98545387,
http://www.wikidata.org/entity/Q98557614,
http://www.wikidata.org/entity/Q98684801,
http://www.wikidata.org/entity/Q3185885,300
http://www.wikidata.org/entity/Q3201479,240
http://www.wikidata.org/entity/Q3207247,50
http://www.wikidata.org/entity/Q3207678,195
http://www.wikidata.org/entity/Q3207989,180
http://www.wikidata.org/entity/Q3210267,28
http://www.wikidata.org/entity/Q3213778,62
http://www.wikidata.org/entity/Q3213773,65
http://www.wikidata.org/entity/Q3213801,65
http://www.wikidata.org/entity/Q3220282,265
http://www.wikidata.org/entity/Q3223625,950
http://www.wikidata.org/entity/Q99937752,
http://www.wikidata.org/entity/Q3276171,90
http://www.wikidata.org/entity/Q3276180,110
http://www.wikidata.org/entity/Q3276168,41
http://www.wikidata.org/entity/Q105025725,
http://www.wikidata.org/entity/Q3399438,39.3
http://www.wikidata.org/entity/Q105760555,
http://www.wikidata.org/entity/Q106575251,
http://www.wikidata.org/entity/Q106857023,
http://www.wikidata.org/entity/Q107311733,
http://www.wikidata.org/entity/Q3463871,147
http://www.wikidata.org/entity/Q3464027,50
http://www.wikidata.org/entity/Q107440131,
http://www.wikidata.org/entity/Q107467842,
http://www.wikidata.org/entity/Q107548658,
http://www.wikidata.org/entity/Q3471589,50
http://www.wikidata.org/entity/Q3472935,54
http://www.wikidata.org/entity/Q108123187,
http://www.wikidata.org/entity/Q108123188,
http://www.wikidata.org/entity/Q108314527,
http://www.wikidata.org/entity/Q108321038,
http://www.wikidata.org/entity/Q108321039,
http://www.wikidata.org/entity/Q3495790,72
http://www.wikidata.org/entity/Q108799898,
http://www.wikidata.org/entity/Q108816249,
http://www.wikidata.org/entity/Q108900483,
http://www.wikidata.org/entity/Q109913050,
http://www.wikidata.org/entity/Q109928591,
