id,collezioni
http://www.wikidata.org/entity/Q2247307,Museo civico
http://www.wikidata.org/entity/Q2264942,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q2267509,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2268013,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q2269291,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2269585,Museo Poldi Pezzoli
http://www.wikidata.org/entity/Q2270291,Pinacoteca Ambrosiana
http://www.wikidata.org/entity/Q2273517,basilica di Santa Maria del Popolo
http://www.wikidata.org/entity/Q2275353,Galleria nazionale d'arte antica
http://www.wikidata.org/entity/Q2275371,Museo civico Ala Ponzone
http://www.wikidata.org/entity/Q2277635,Museo regionale di Messina
http://www.wikidata.org/entity/Q2284829,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2293905,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2293936,Galleria Borghese
http://www.wikidata.org/entity/Q2325834,palazzo Bianco
http://www.wikidata.org/entity/Q2327715,Museo regionale di Messina
http://www.wikidata.org/entity/Q2337873,chiesa di San Luigi dei Francesi
http://www.wikidata.org/entity/Q2338404,Pinacoteca Ambrosiana
http://www.wikidata.org/entity/Q2338417,chiesa di San Luigi dei Francesi
http://www.wikidata.org/entity/Q2343939,Accademia Carrara; Collezione Lochis
http://www.wikidata.org/entity/Q2405771,Galleria Palatina
http://www.wikidata.org/entity/Q2426058,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2448678,Pinacoteca Nazionale di Bologna
http://www.wikidata.org/entity/Q2459887,Staatliche Kunstsammlungen Dresden
http://www.wikidata.org/entity/Q2470123,Galleria nazionale d'arte antica
http://www.wikidata.org/entity/Q2472983,basilica di San Giorgio Maggiore
http://www.wikidata.org/entity/Q2515309,Galleria Palatina
http://www.wikidata.org/entity/Q2551625,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2610729,Galleria Palatina
http://www.wikidata.org/entity/Q2610936,Collezione Borghese; Galleria Borghese
http://www.wikidata.org/entity/Q2626595,Pio Monte della Misericordia
http://www.wikidata.org/entity/Q2627056,Collezione Borghese; Galleria Borghese
http://www.wikidata.org/entity/Q2629715,Galleria Borghese
http://www.wikidata.org/entity/Q3842594,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q3842673,Pinacoteca civica Tacchi-Venturi
http://www.wikidata.org/entity/Q3842700,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3842706,Pinacoteca civica Francesco Podesti
http://www.wikidata.org/entity/Q3842713,Museo parrocchiale di Corridonia
http://www.wikidata.org/entity/Q3842725,Museo diocesano (Ascoli Piceno)
http://www.wikidata.org/entity/Q3862624,chiesa di San Fermo
http://www.wikidata.org/entity/Q3863247,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3873244,Museo Civico Archeologico e d'Arte Sacra Palazzo Corboli
http://www.wikidata.org/entity/Q3877894,
http://www.wikidata.org/entity/Q3879242,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q3884948,Scuola di San Giorgio degli Schiavoni
http://www.wikidata.org/entity/Q3885620,Accademia Carrara; Collezione Lochis
http://www.wikidata.org/entity/Q3889195,Galleria Sabauda
http://www.wikidata.org/entity/Q3889203,Pinacoteca civica Francesco Podesti
http://www.wikidata.org/entity/Q3889211,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3889220,Galleria nazionale delle Marche
http://www.wikidata.org/entity/Q3889229,Pinacoteca civica Francesco Podesti
http://www.wikidata.org/entity/Q3889247,musei civici di Pesaro
http://www.wikidata.org/entity/Q3889254,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3889255,Palazzo Pianetti
http://www.wikidata.org/entity/Q3889253,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3904392,Accademia Carrara; Collezione Lochis
http://www.wikidata.org/entity/Q3904398,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3907344,Gemäldegalerie
http://www.wikidata.org/entity/Q3907497,Pinacoteca di Brera; collegiata di San Medardo
http://www.wikidata.org/entity/Q3908184,Palazzo Trinci
http://www.wikidata.org/entity/Q3910087,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3910913,Palazzo Apostolico; Museo pontificio della Santa Casa
http://www.wikidata.org/entity/Q3921705,Gallerie d'Italia – Milano; Gallerie d'Italia
http://www.wikidata.org/entity/Q3921912,pinacoteca civica
http://www.wikidata.org/entity/Q3924389,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3925592,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3937080,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3937438,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q3937502,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3937511,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3937547,Palazzo Vecchio; Führermuseum; Munich Central Collecting Point; Gallerie Nazionali di Palazzo Spinola
http://www.wikidata.org/entity/Q3937553,Galleria Palatina
http://www.wikidata.org/entity/Q3937561,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q3937569,Galleria Palatina
http://www.wikidata.org/entity/Q3937598,Accademia Carrara
http://www.wikidata.org/entity/Q3937634,Musei Civici di Monza
http://www.wikidata.org/entity/Q3937643,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q3944499,Galleria Palatina
http://www.wikidata.org/entity/Q3944515,Fondazione Magnani-Rocca
http://www.wikidata.org/entity/Q3945254,Palazzo Trinci
http://www.wikidata.org/entity/Q3945710,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3946910,Palazzo Ducale
http://www.wikidata.org/entity/Q3947013,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3947064,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3947210,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q3947211,
http://www.wikidata.org/entity/Q3947277,abbazia di San Giovanni Evangelista
http://www.wikidata.org/entity/Q3947281,Galleria Palatina
http://www.wikidata.org/entity/Q3947288,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3947375,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3947504,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3947687,chiesa di Sant'Angelo a Nilo
http://www.wikidata.org/entity/Q3947723,chiesa di Santa Maria dei Carmini
http://www.wikidata.org/entity/Q3947812,Pio Monte della Misericordia
http://www.wikidata.org/entity/Q3948034,abbazia di San Giovanni Evangelista
http://www.wikidata.org/entity/Q3948651,abbazia di San Giovanni Evangelista
http://www.wikidata.org/entity/Q3948701,Quadreria dei Girolamini
http://www.wikidata.org/entity/Q3949208,basilica di Santo Spirito
http://www.wikidata.org/entity/Q3949310,abbazia di San Giovanni Evangelista
http://www.wikidata.org/entity/Q3949373,abbazia di San Giovanni Evangelista
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3954057,pinacoteca civica
http://www.wikidata.org/entity/Q3967206,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3973584,Museo regionale Agostino Pepoli
http://www.wikidata.org/entity/Q3974449,basilica di San Miniato al Monte
http://www.wikidata.org/entity/Q3979950,Palazzo degli Uffizi; Museo di San Marco
http://www.wikidata.org/entity/Q3979952,basilica di San Pietro
http://www.wikidata.org/entity/Q3979961,Accademia delle arti del disegno
http://www.wikidata.org/entity/Q3981174,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3982379,Camposanto monumentale
http://www.wikidata.org/entity/Q3983114,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3984830,Museo Poldi Pezzoli
http://www.wikidata.org/entity/Q3985169,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3985186,Galleria dell'Accademia
http://www.wikidata.org/entity/Q3985472,Museo di Belle Arti di Budapest
http://www.wikidata.org/entity/Q3992111,Collezione Borghese
http://www.wikidata.org/entity/Q3994163,Palazzo Ducale
http://www.wikidata.org/entity/Q3997723,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q3998940,Camposanto monumentale
http://www.wikidata.org/entity/Q3999094,chiesa di San Bartolomeo
http://www.wikidata.org/entity/Q3999095,Basilica di Santa Maria Gloriosa dei Frari
http://www.wikidata.org/entity/Q4006302,Palazzo dei Diamanti
http://www.wikidata.org/entity/Q4010476,Museo dell'Opera del Duomo
http://www.wikidata.org/entity/Q4010941,basilica della Santissima Annunziata
