id,data_creazione
http://www.wikidata.org/entity/Q3937553,1546
http://www.wikidata.org/entity/Q3937561,1571
http://www.wikidata.org/entity/Q3937569,1532
http://www.wikidata.org/entity/Q3937598,1520
http://www.wikidata.org/entity/Q3937634,1900
http://www.wikidata.org/entity/Q3937643,1543
http://www.wikidata.org/entity/Q3944499,1490
http://www.wikidata.org/entity/Q3944515,1513
http://www.wikidata.org/entity/Q3945254,1411
http://www.wikidata.org/entity/Q3945710,1527
http://www.wikidata.org/entity/Q3946910,1523
http://www.wikidata.org/entity/Q3947013,1475
http://www.wikidata.org/entity/Q3947064,1509
http://www.wikidata.org/entity/Q3947210,1460
http://www.wikidata.org/entity/Q3947211,1510
http://www.wikidata.org/entity/Q3947277,1520
http://www.wikidata.org/entity/Q3947281,1523
http://www.wikidata.org/entity/Q3947288,1493
http://www.wikidata.org/entity/Q3947375,1528
http://www.wikidata.org/entity/Q3947504,1300
http://www.wikidata.org/entity/Q3947687,1573
http://www.wikidata.org/entity/Q3947723,1527
http://www.wikidata.org/entity/Q3947812,1611
http://www.wikidata.org/entity/Q3948034,1523
http://www.wikidata.org/entity/Q3948651,1523
http://www.wikidata.org/entity/Q3948701,1620
http://www.wikidata.org/entity/Q3949208,1450 | 1475 | 1478
http://www.wikidata.org/entity/Q3949310,1523
http://www.wikidata.org/entity/Q3949373,1523
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3954057,1472
http://www.wikidata.org/entity/Q3967206,1513
http://www.wikidata.org/entity/Q3973584,1525
http://www.wikidata.org/entity/Q3974449,1447
http://www.wikidata.org/entity/Q3979950,1433
http://www.wikidata.org/entity/Q3979952,1432
http://www.wikidata.org/entity/Q3979961,1521
http://www.wikidata.org/entity/Q3981174,1521
http://www.wikidata.org/entity/Q3982379,1336
http://www.wikidata.org/entity/Q3983114,1470
http://www.wikidata.org/entity/Q3984830,1460
http://www.wikidata.org/entity/Q3985169,1494
http://www.wikidata.org/entity/Q3985186,1315
http://www.wikidata.org/entity/Q3985472,1456
http://www.wikidata.org/entity/Q3992111,1542
http://www.wikidata.org/entity/Q3994163,1436
http://www.wikidata.org/entity/Q3997723,1478
http://www.wikidata.org/entity/Q3998940,1336
http://www.wikidata.org/entity/Q3999094,1516
http://www.wikidata.org/entity/Q3999095,1488
http://www.wikidata.org/entity/Q4006302,1450
http://www.wikidata.org/entity/Q4010476,1287
http://www.wikidata.org/entity/Q4010941,1511
http://www.wikidata.org/entity/Q4014547,1450
http://www.wikidata.org/entity/Q4015931,1476
http://www.wikidata.org/entity/Q4015932,1502
http://www.wikidata.org/entity/Q5659648,1730 | 1732
http://www.wikidata.org/entity/Q5954551,1486
http://www.wikidata.org/entity/Q6696013,1505
http://www.wikidata.org/entity/Q7232252,1526
http://www.wikidata.org/entity/Q7232287,1545
http://www.wikidata.org/entity/Q2635552,1509
http://www.wikidata.org/entity/Q2665840,1575
http://www.wikidata.org/entity/Q2713203,1605
http://www.wikidata.org/entity/Q2713823,1504
http://www.wikidata.org/entity/Q2714237,1489
