id,edizione
http://www.wikidata.org/entity/Q103915895,1
http://www.wikidata.org/entity/Q103915893,1
http://www.wikidata.org/entity/Q103915887,3
http://www.wikidata.org/entity/Q103915888,3
http://www.wikidata.org/entity/Q103915898,2
http://www.wikidata.org/entity/Q103915903,2
http://www.wikidata.org/entity/Q103915900,2
http://www.wikidata.org/entity/Q103915907,2
http://www.wikidata.org/entity/Q103918134,3
http://www.wikidata.org/entity/Q103918132,3
http://www.wikidata.org/entity/Q103918138,3
http://www.wikidata.org/entity/Q103918136,3
http://www.wikidata.org/entity/Q103918125,1-2
http://www.wikidata.org/entity/Q103918128,1-2
http://www.wikidata.org/entity/Q103918139,1-2
http://www.wikidata.org/entity/Q103918142,1-2
http://www.wikidata.org/entity/Q103918144,1-2
http://www.wikidata.org/entity/Q131469817,2
http://www.wikidata.org/entity/Q103919385,1
http://www.wikidata.org/entity/Q103919389,1
http://www.wikidata.org/entity/Q103919394,1
http://www.wikidata.org/entity/Q103919382,3
http://www.wikidata.org/entity/Q103919396,1
http://www.wikidata.org/entity/Q103919627,1
http://www.wikidata.org/entity/Q103919635,1
http://www.wikidata.org/entity/Q103919633,1
http://www.wikidata.org/entity/Q103919639,1
http://www.wikidata.org/entity/Q103919715,2
http://www.wikidata.org/entity/Q103919718,2
http://www.wikidata.org/entity/Q103919722,2
http://www.wikidata.org/entity/Q103919720,2
http://www.wikidata.org/entity/Q103919727,3
http://www.wikidata.org/entity/Q103919724,3
http://www.wikidata.org/entity/Q103919730,3
http://www.wikidata.org/entity/Q103919735,3
http://www.wikidata.org/entity/Q103919732,3
http://www.wikidata.org/entity/Q103919738,3
http://www.wikidata.org/entity/Q103919742,3
http://www.wikidata.org/entity/Q103919620,2/3
http://www.wikidata.org/entity/Q103919625,2/3
http://www.wikidata.org/entity/Q103919629,2/3
http://www.wikidata.org/entity/Q103919632,2/3
http://www.wikidata.org/entity/Q103919643,2/3
http://www.wikidata.org/entity/Q103919646,2/3
http://www.wikidata.org/entity/Q103919650,2/3
http://www.wikidata.org/entity/Q103919654,2/3
http://www.wikidata.org/entity/Q103919652,2/3
http://www.wikidata.org/entity/Q103919658,2/3
http://www.wikidata.org/entity/Q103919894,1
http://www.wikidata.org/entity/Q103919979,1
http://www.wikidata.org/entity/Q103919982,1
http://www.wikidata.org/entity/Q103919985,1
http://www.wikidata.org/entity/Q103919987,2
http://www.wikidata.org/entity/Q103920007,1
http://www.wikidata.org/entity/Q103919990,3
http://www.wikidata.org/entity/Q103919994,3
http://www.wikidata.org/entity/Q103920009,1
http://www.wikidata.org/entity/Q103920012,1
http://www.wikidata.org/entity/Q103919999,3
http://www.wikidata.org/entity/Q103920001,2
http://www.wikidata.org/entity/Q103920016,2
http://www.wikidata.org/entity/Q105491102,3
http://www.wikidata.org/entity/Q105491103,3
http://www.wikidata.org/entity/Q105491101,3
http://www.wikidata.org/entity/Q105491106,3
http://www.wikidata.org/entity/Q105491107,3
http://www.wikidata.org/entity/Q105491104,3
http://www.wikidata.org/entity/Q105491105,3
http://www.wikidata.org/entity/Q105491110,3
http://www.wikidata.org/entity/Q105491108,3
http://www.wikidata.org/entity/Q105491109,3
http://www.wikidata.org/entity/Q105491114,3
http://www.wikidata.org/entity/Q105491112,3
http://www.wikidata.org/entity/Q105491113,3
http://www.wikidata.org/entity/Q109947957,1
http://www.wikidata.org/entity/Q111395751,1
http://www.wikidata.org/entity/Q111395752,1
http://www.wikidata.org/entity/Q111395753,1
http://www.wikidata.org/entity/Q111395758,1
http://www.wikidata.org/entity/Q111395759,1
http://www.wikidata.org/entity/Q111395756,1
http://www.wikidata.org/entity/Q111395757,1
http://www.wikidata.org/entity/Q111395762,1
http://www.wikidata.org/entity/Q111395763,1
http://www.wikidata.org/entity/Q111395760,1
http://www.wikidata.org/entity/Q111395761,1
http://www.wikidata.org/entity/Q111395764,1
http://www.wikidata.org/entity/Q111395765,1
http://www.wikidata.org/entity/Q111431563,2
http://www.wikidata.org/entity/Q111431566,2
http://www.wikidata.org/entity/Q111431567,2
http://www.wikidata.org/entity/Q111431564,2
http://www.wikidata.org/entity/Q111431565,2
http://www.wikidata.org/entity/Q111431570,2
http://www.wikidata.org/entity/Q111431571,2
http://www.wikidata.org/entity/Q111431568,2
http://www.wikidata.org/entity/Q111431569,2
http://www.wikidata.org/entity/Q111431574,2
http://www.wikidata.org/entity/Q111431573,2
http://www.wikidata.org/entity/Q111431578,2
http://www.wikidata.org/entity/Q111431576,2
http://www.wikidata.org/entity/Q111431577,2
http://www.wikidata.org/entity/Q111967326,3
http://www.wikidata.org/entity/Q111967327,3
http://www.wikidata.org/entity/Q111967324,3
http://www.wikidata.org/entity/Q111967325,3
http://www.wikidata.org/entity/Q111967330,3
http://www.wikidata.org/entity/Q111967328,3
http://www.wikidata.org/entity/Q111967329,3
http://www.wikidata.org/entity/Q111967332,3
http://www.wikidata.org/entity/Q111967333,3
http://www.wikidata.org/entity/Q103918347,2
http://www.wikidata.org/entity/Q103918341,3
http://www.wikidata.org/entity/Q103918344,3
http://www.wikidata.org/entity/Q103918350,3
http://www.wikidata.org/entity/Q103918353,2
http://www.wikidata.org/entity/Q103918358,2
http://www.wikidata.org/entity/Q103918361,2
http://www.wikidata.org/entity/Q103918356,3
http://www.wikidata.org/entity/Q103918363,3
