id,basi_dati
http://www.wikidata.org/entity/Q59388176,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388177,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388182,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388183,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388180,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388181,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388184,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q59388185,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q60713534,DOAJ; SCImago Journal Rank; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q60907273,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907285,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907291,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907308,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907317,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907331,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907344,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907356,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907372,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907379,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907392,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907408,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907417,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907422,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q60907435,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q61056650,DOAJ; SCImago Journal Rank; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q61057042,DOAJ; SCImago Journal Rank; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q61776076,
http://www.wikidata.org/entity/Q61776080,
http://www.wikidata.org/entity/Q61776462,
http://www.wikidata.org/entity/Q61776467,
http://www.wikidata.org/entity/Q61776464,
http://www.wikidata.org/entity/Q61776468,
http://www.wikidata.org/entity/Q61776469,
http://www.wikidata.org/entity/Q62579849,
http://www.wikidata.org/entity/Q64712103,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q33144512,Scopus
http://www.wikidata.org/entity/Q33144721,Scopus
http://www.wikidata.org/entity/Q36464134,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36464142,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36464146,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484095,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484102,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484107,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484116,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484122,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484126,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484132,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484137,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484143,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484148,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484157,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484160,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484165,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484169,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484173,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484177,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484182,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484194,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484198,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q36484219,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q48625754,
http://www.wikidata.org/entity/Q56736038,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q57976823,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58124093,
http://www.wikidata.org/entity/Q58302558,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58349819,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58350077,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58356273,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58356286,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58356899,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58379186,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58379187,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58379188,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58387646,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58387647,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58387650,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58387648,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58424166,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670918,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670922,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670923,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670920,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670927,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670925,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670929,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670935,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670932,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670933,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670939,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670937,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58670940,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773238,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773236,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773243,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773241,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773247,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773245,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
